Year,Temperature anomaly
1990,-0.13243413016666666
1991,-0.1871961746666667
1992,-0.41927058916666665
1993,-0.3734622816666667
1994,-0.337139525
1995,-0.15936883466666665
1996,-0.28933214916666666
1997,-0.1671168776666667
1998,0.021511634833333335
1999,-0.24735546058333335
2000,-0.25242471666666666
2001,-0.09241573033333333
2002,0.0042657850833333335
2003,-0.008698541916666665
2004,-0.07005230583333334
2005,0.09218478158333333
2006,0.044091382875
2007,0.03668395768333333
2008,-0.09578879624999999
2009,0.034867287175000004
2010,0.13054967
2011,-0.011309306541666666
2012,0.03982814208333333
2013,0.06704966216666666
2014,0.10620840483333333
2015,0.2555767694166667
2016,0.439194525
2017,0.3436408833333333
2018,0.2638851
2019,0.39922801750000003
2020,0.4321630783333333
